striker,team,type
M Labuschagne,Australia,Allrounder
M Pathirana,Sri Lanka,Bowler
M Shumba,Zimbabwe,Batter
M Theekshana,Sri Lanka,Bowler
MA Starc,Australia,Bowler
MA Wood,England,Bowler
Mahedi Hasan,Bangladesh,Bowler
Mahmudullah,Bangladesh,Allrounder
MD Gunathilaka,Sri Lanka,Batter
MD Shanaka,Sri Lanka,Allrounder
MDKJ Perera,Sri Lanka,WK Batter
Mehedi Hasan Miraz,Bangladesh,Allrounder
MG Bracewell,New Zealand,Allrounder
MJ Guptill,New Zealand,Batter
MJ Santner,New Zealand,Bowler
MM Ali,England,Allrounder
Mohammad Hafeez,Pakistan,Allrounder
Mohammad Haris,Pakistan,WK Batter
Mohammad Hasnain,Pakistan,Bowler
Mohammad Nabi,Afghanistan,Allrounder
Mohammad Naim,Bangladesh,Batter
Mohammad Nawaz (3),Pakistan,Allrounder
Mohammad Rizwan,Pakistan,WK Batter
Mohammad Shahzad,Afghanistan,WK Batter
Mohammad Wasim,Pakistan,Bowler
Mohammed Siraj,India,Bowler
Mosaddek Hossain,Bangladesh,Batter
MP Stoinis,Australia,Allrounder
MR Adair,Ireland,Bowler
MR Marsh,Australia,Allrounder
MS Chapman,New Zealand,Allrounder
MS Wade,Australia,WK Batter
Mujeeb Ur Rahman,Afghanistan,Bowler
Munim Shahriar,Bangladesh,Batter
Mushfiqur Rahim,Bangladesh,WK Batter
Mustafizur Rahman,Bangladesh,Bowler
MW Parkinson,England,Bowler
N Pooran,West Indies,WK Batter
N Thushara,Sri Lanka,Bowler
NA Rock,Ireland,WK Batter
Najibullah Zadran,Afghanistan,Batter
Naseem Shah,Pakistan,Bowler
Nasum Ahmed,Bangladesh,Bowler
Naveen-ul-Haq,Afghanistan,Bowler
Nazmul Hossain Shanto,Bangladesh,Batter
Nijat Masood,Afghanistan,Bowler
Noor Ahmad,Afghanistan,Bowler
Nurul Hasan,Bangladesh,WK Batter
O Thomas,West Indies,Bowler
OC McCoy,West Indies,Bowler
OF Smith,West Indies,Allrounder
OP Stone,England,Bowler
P Nissanka,Sri Lanka,Batter
Parvez Hossain Emon,Bangladesh,WK Batter
PBB Rajapaksa,Sri Lanka,Batter
PD Salt,England,WK Batter
PJ Cummins,Australia,Bowler
PR Stirling,Ireland,Batter
PVD Chameera,Sri Lanka,Bowler
PWH de Silva,Sri Lanka,Allrounder
Q de Kock,South Africa,WK Batter
Qais Ahmad,Afghanistan,Bowler
R Ashwin,India,Allrounder
R Powell,West Indies,Batter
R Rampaul,West Indies,Bowler
R Ravindra,New Zealand,Allrounder
R Shepherd,West Indies,Bowler
RA Jadeja,India,Allrounder
RA Reifer,West Indies,Allrounder
Rahmanullah Gurbaz,Afghanistan,WK Batter
Rashid Khan,Afghanistan,Bowler
Ravi Bishnoi,India,Bowler
RD Gaikwad,India,Batter
RG Sharma,India,Batter
RJ Gleeson,England,Bowler
RJW Topley,England,Bowler
RL Chase,West Indies,Allrounder
RP Burl,Zimbabwe,Allrounder
RR Hendricks,South Africa,Batter
RR Pant,India,WK Batter
RR Rossouw,South Africa,Batter
RW Chakabva,Zimbabwe,WK Batter
S Mahmood,England,Bowler
SA Abbott,Australia,Allrounder
SA Yadav,India,Batter
Sabbir Rahman,Bangladesh,Batter
Saif Hassan,Bangladesh,Batter
Sarfraz Ahmed,Pakistan,WK Batter
SC Williams,Zimbabwe,Allrounder
SD Hope,West Indies,WK Batter
Shadab Khan,Pakistan,Bowler
Shaheen Shah Afridi,Pakistan,Bowler
Shahnawaz Dhani,Pakistan,Bowler
Shakib Al Hasan,Bangladesh,Allrounder
Shamim Hossain,Bangladesh,Allrounder
Shan Masood,Pakistan,Batter
Sharafuddin Ashraf,Afghanistan,Bowler
Shoaib Malik,Pakistan,Allrounder
Shoriful Islam,Bangladesh,Bowler
Sikandar Raza,Zimbabwe,Allrounder
Simi Singh,Ireland,Allrounder
SM Curran,England,Allrounder
SN Thakur,India,Bowler
SO Hetmyer,West Indies,Batter
Soumya Sarkar,Bangladesh,Batter
SPD Smith,Australia,Batter
SS Iyer,India,Batter
SSJ Brooks,West Indies,Batter
SV Samson,India,WK Batter
SW Billings,England,WK Batter
T Banton,England,Batter
T Bavuma,South Africa,Batter
T Marumani,Zimbabwe,Batter
T Shamsi,South Africa,Bowler
T Stubbs,South Africa,Batter
TA Boult,New Zealand,Bowler
Taskin Ahmed,Bangladesh,Bowler
TG Southee,New Zealand,Bowler
TH David,Australia,Batter
TL Chatara,Zimbabwe,Bowler
TL Seifert,New Zealand,WK Batter
TM Head,Australia,Batter
TS Mills,England,Bowler
Usman Ghani,Afghanistan,Batter
Usman Qadir,Pakistan,Bowler
UT Yadav,India,Bowler
V Kohli,India,Batter
VM Nyauchi,Zimbabwe,Bowler
VR Iyer,India,Allrounder
W Madhevere,Zimbabwe,Allrounder
WD Parnell,South Africa,Bowler
WG Jacks,England,Batter
WIA Fernando,Sri Lanka,Batter
WP Masakadza,Zimbabwe,Bowler
Y Cariah,West Indies,Bowler
Yasir Ali Chowdhury,Bangladesh,Batter
