,name,team,innings,ballsfaced,batting_sr,batting_avg,PaPP0,PaPPW,PaPP6,PaPP4,PaPP1,PaPPE,PaPP2,PaPP3,PaPP5,PaMO0,PaMOW,PaMO6,PaMO4,PaMO1,PaMOE,PaMO2,PaMO3,PaMO5,PaDO0,PaDOW,PaDO6,PaDO4,PaDO1,PaDOE,PaDO2,PaDO3,PaDO5,SpPP0,SpPPW,SpPP6,SpPP4,SpPP1,SpPPE,SpPP2,SpPP3,SpPP5,SpMO0,SpMOW,SpMO6,SpMO4,SpMO1,SpMOE,SpMO2,SpMO3,SpMO5,SpDO0,SpDOW,SpDO6,SpDO4,SpDO1,SpDOE,SpDO2,SpDO3,SpDO5,type
10,AD Russell,West Indies,15,117,166.67,19.5,411 - 554,555 - 621,622 - 643,-,644 - 666,-,-,-,-,411 - 523,524 - 535,536 - 553,554 - 556,561 - 645,646 - 666,-,-,-,411 - 466,511 - 516,521 - 554,555 - 611,612 - 651,652 - 661,662 - 666,-,-,411 - 554,555 - 621,622 - 643,-,644 - 666,-,-,-,-,411 - 511,512 - 526,531 - 541,542 - 563,564 - 662,663 - 666,-,-,-,411 - 466,511 - 516,521 - 554,555 - 611,612 - 651,652 - 661,662 - 666,-,-,
11,ADS Fletcher,West Indies,9,115,109.57,18.0,411 - 556,561 - 562,563 - 616,621 - 631,632 - 655,656 - 663,664 - 665,666 - 666,-,411 - 623,624 - 626,-,631 - 636,641 - 666,-,-,-,-,411 - 623,624 - 626,-,631 - 636,641 - 666,-,-,-,-,411 - 533,534 - 553,554 - 613,614 - 625,626 - 662,663 - 666,-,-,-,411 - 535,536 - 546,-,-,551 - 652,653 - 655,656 - 666,-,-,411 - 535,536 - 546,-,-,551 - 652,653 - 655,656 - 666,-,-,
12,AF Milne,New Zealand,2,10,120.0,12.0,411 - 523,524 - 615,616 - 666,-,-,-,-,-,-,411 - 523,524 - 615,616 - 666,-,-,-,-,-,-,-,-,-,-,411 - 453,454 - 536,541 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,-,-,-,-,411 - 453,454 - 536,541 - 666,-,-,Bowler
13,AJ Finch,Australia,34,693,123.95,26.84,411 - 513,514 - 521,522 - 524,525 - 552,553 - 642,643 - 653,654 - 665,666 - 666,-,411 - 435,436 - 441,442 - 443,444 - 513,514 - 631,632 - 641,642 - 666,-,-,411 - 422,423 - 442,443 - 466,511 - 522,523 - 634,635 - 642,643 - 666,-,-,411 - 526,531 - 541,542 - 543,544 - 565,566 - 646,651 - 654,655 - 666,-,-,411 - 455,456 - 466,511 - 514,515 - 523,524 - 652,653 - 655,656 - 666,-,-,-,-,-,411 - 536,541 - 666,-,-,-,-,Batter c
14,AJ Hosein,West Indies,13,113,116.81,33.0,411 - 623,624 - 625,626 - 626,631 - 632,633 - 663,-,664 - 666,-,-,411 - 623,624 - 625,626 - 626,631 - 632,633 - 663,-,664 - 666,-,-,411 - 434,435 - 443,444 - 462,463 - 524,525 - 635,636 - 644,645 - 666,-,-,411 - 566,611 - 612,613 - 616,621 - 624,625 - 653,654 - 664,665 - 666,-,-,411 - 566,611 - 612,613 - 616,621 - 624,625 - 653,654 - 664,665 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,Bowler
15,AJ Turner,Australia,6,72,70.83,10.2,411 - 531,-,-,-,532 - 631,632 - 644,645 - 666,-,-,411 - 531,-,-,-,532 - 631,632 - 644,645 - 666,-,-,411 - 463,464 - 526,-,531 - 544,545 - 666,-,-,-,-,411 - 623,624 - 631,-,632 - 633,634 - 664,665 - 666,-,-,-,411 - 623,624 - 631,-,632 - 633,634 - 664,665 - 666,-,-,-,-,-,-,-,411 - 566,-,611 - 666,-,-,
16,AJ Tye,Australia,4,21,104.76,11.0,-,-,411 - 444,445 - 522,523 - 633,-,634 - 666,-,-,-,-,411 - 444,445 - 522,523 - 633,-,634 - 666,-,-,411 - 565,566 - 622,-,-,623 - 644,645 - 653,654 - 666,-,-,-,-,-,-,411 - 536,541 - 666,-,-,-,-,-,-,-,411 - 536,541 - 666,-,-,-,411 - 565,566 - 622,-,-,623 - 644,645 - 653,654 - 666,-,-,
17,AK Markram,South Africa,21,498,152.21,44.59,411 - 512,513 - 514,515 - 523,524 - 552,553 - 642,643 - 656,661 - 665,666 - 666,-,411 - 426,431 - 432,433 - 444,445 - 464,465 - 645,646 - 655,656 - 666,-,-,-,411 - 421,422 - 441,442 - 513,514 - 623,624 - 641,642 - 661,662 - 666,-,411 - 521,522 - 523,524 - 534,535 - 554,555 - 655,656 - 661,662 - 666,-,-,411 - 415,416 - 425,426 - 443,444 - 461,462 - 641,642 - 646,651 - 666,-,-,-,411 - 421,422 - 441,442 - 513,514 - 623,624 - 641,642 - 661,662 - 666,-,Batter
18,AL Phehlukwayo,South Africa,6,43,132.56,11.4,-,411 - 423,-,424 - 523,524 - 653,654 - 666,-,-,-,-,411 - 423,-,424 - 523,524 - 653,654 - 666,-,-,-,411 - 435,436 - 455,456 - 463,464 - 515,516 - 634,635 - 642,643 - 666,-,-,411 - 542,543 - 611,-,-,612 - 641,642 - 666,-,-,-,411 - 542,543 - 611,-,-,612 - 641,642 - 666,-,-,-,411 - 435,436 - 455,456 - 463,464 - 515,516 - 634,635 - 642,643 - 666,-,-,
19,AM Fernando,Sri Lanka,1,2,400.0,-,-,-,-,411 - 536,-,541 - 666,-,-,-,-,-,-,411 - 536,-,541 - 666,-,-,-,-,-,-,411 - 536,-,541 - 666,-,-,-,-,-,-,411 - 536,-,541 - 666,-,-,-,-,-,-,411 - 536,-,541 - 666,-,-,-,-,-,-,411 - 536,-,541 - 666,-,-,-,
20,AR McBrine,Ireland,5,34,102.94,11.67,411 - 523,524 - 535,-,-,536 - 666,-,-,-,-,411 - 523,524 - 535,-,-,536 - 666,-,-,-,-,411 - 444,445 - 455,456 - 466,-,511 - 644,645 - 655,656 - 666,-,-,-,411 - 466,-,-,511 - 666,-,-,-,-,-,411 - 466,-,-,511 - 666,-,-,-,-,411 - 434,-,-,435 - 552,553 - 666,-,-,-,-,
21,AR Patel,India,12,66,142.42,13.43,411 - 442,443 - 454,-,455 - 522,523 - 654,655 - 666,-,-,-,411 - 442,443 - 454,-,455 - 522,523 - 654,655 - 666,-,-,-,411 - 421,422 - 441,442 - 454,455 - 514,515 - 612,613 - 646,651 - 666,-,-,411 - 431,-,-,432 - 511,512 - 666,-,-,-,-,411 - 431,-,-,432 - 511,512 - 666,-,-,-,-,-,411 - 466,-,511 - 566,-,611 - 666,-,-,-,Allrounder
22,AS Joseph,West Indies,5,36,80.56,14.5,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 456,461 - 465,466 - 514,515 - 532,533 - 621,622 - 661,662 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 623,-,-,-,624 - 666,-,-,-,-,Bowler
23,AT Carey,Australia,8,64,89.06,7.12,411 - 554,555 - 621,-,622 - 643,644 - 655,-,656 - 666,-,-,-,411 - 524,-,-,525 - 666,-,-,-,-,411 - 533,-,-,534 - 551,552 - 666,-,-,-,-,411 - 554,555 - 621,-,622 - 643,644 - 655,-,656 - 666,-,-,411 - 541,542 - 553,-,554 - 565,566 - 663,664 - 666,-,-,-,-,-,411 - 466,-,511 - 666,-,-,-,-,
24,AT Nidamanuru,Netherlands,2,31,67.74,10.5,411 - 623,624 - 666,-,-,-,-,-,-,-,411 - 623,624 - 666,-,-,-,-,-,-,-,-,411 - 436,-,-,441 - 536,541 - 566,611 - 666,-,-,411 - 645,-,-,-,646 - 666,-,-,-,-,411 - 645,-,-,-,646 - 666,-,-,-,-,411 - 623,-,624 - 645,-,646 - 666,-,-,-,-,Allrounder
25,AU Rashid,England,9,37,94.59,7.0,411 - 461,462 - 512,-,513 - 523,524 - 622,623 - 655,656 - 666,-,-,411 - 461,462 - 512,-,513 - 523,524 - 622,623 - 655,656 - 666,-,-,411 - 433,434 - 464,-,465 - 514,515 - 656,-,661 - 666,-,-,411 - 616,621 - 666,-,-,-,-,-,-,-,411 - 616,621 - 666,-,-,-,-,-,-,-,-,-,-,411 - 444,445 - 666,-,-,-,-,Bowler
26,AY Patel,New Zealand,2,14,50.0,3.5,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 533,534 - 555,-,-,556 - 644,645 - 666,-,-,-,411 - 653,-,-,-,654 - 661,-,662 - 666,-,-,411 - 653,-,-,-,654 - 661,-,662 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,
27,Aamer Jamal,Pakistan,1,7,142.86,10.0,-,411 - 444,-,-,445 - 666,-,-,-,-,-,411 - 444,-,-,445 - 666,-,-,-,-,-,411 - 444,-,-,445 - 666,-,-,-,-,-,-,-,411 - 536,-,-,541 - 666,-,-,-,-,-,411 - 536,-,-,541 - 666,-,-,-,-,-,411 - 536,-,-,541 - 666,-,-,
28,Aayan Afzal Khan,United Arab Emirates,3,45,108.89,16.33,411 - 546,-,-,551 - 565,566 - 642,-,643 - 666,-,-,411 - 546,-,-,551 - 565,566 - 642,-,643 - 666,-,-,411 - 435,436 - 456,-,461 - 521,522 - 624,625 - 634,635 - 655,656 - 666,-,411 - 525,526 - 536,-,-,541 - 644,-,645 - 666,-,-,411 - 525,526 - 536,-,-,541 - 644,-,645 - 666,-,-,411 - 435,436 - 456,-,461 - 521,522 - 624,625 - 634,635 - 655,656 - 666,-,Allrounder
29,Afif Hossain,Bangladesh,39,643,120.06,25.73,411 - 525,-,526 - 531,532 - 551,552 - 646,651 - 664,665 - 666,-,-,411 - 443,444 - 451,452 - 456,461 - 521,522 - 641,642 - 651,652 - 665,666 - 666,-,411 - 445,446 - 461,462 - 463,464 - 525,526 - 635,636 - 656,661 - 666,-,-,411 - 516,521 - 535,536 - 554,-,555 - 632,633 - 651,652 - 666,-,-,411 - 514,515 - 521,522 - 526,531 - 535,536 - 642,643 - 646,651 - 665,666 - 666,-,411 - 562,563 - 623,-,-,624 - 645,646 - 653,654 - 666,-,-,Allrounder
30,Afsar Zazai,Afghanistan,1,24,100.0,24.0,411 - 424,-,425 - 443,444 - 462,463 - 536,541 - 651,652 - 666,-,-,411 - 434,-,-,-,435 - 513,514 - 666,-,-,-,411 - 434,-,-,-,435 - 513,514 - 666,-,-,-,411 - 554,-,-,-,555 - 666,-,-,-,-,411 - 455,456 - 513,-,-,514 - 652,-,653 - 666,-,-,411 - 455,456 - 513,-,-,514 - 652,-,653 - 666,-,-,WK Batter
31,Ahmed Raza,United Arab Emirates,2,11,154.55,-,411 - 436,-,441 - 454,-,455 - 616,-,621 - 666,-,-,411 - 436,-,441 - 454,-,455 - 616,-,621 - 666,-,-,411 - 436,-,441 - 454,-,455 - 616,-,621 - 666,-,-,411 - 436,-,441 - 454,-,455 - 616,-,621 - 666,-,-,411 - 436,-,441 - 454,-,455 - 616,-,621 - 666,-,-,411 - 436,-,441 - 454,-,455 - 616,-,621 - 666,-,-,Bowler
32,Aminul Islam Biplob,Bangladesh,3,23,56.52,13.0,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 613,614 - 616,-,-,621 - 663,-,664 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,
33,Anamul Haque,Bangladesh,7,93,96.77,12.86,411 - 462,463 - 515,516 - 522,523 - 545,546 - 631,632 - 656,661 - 663,664 - 666,-,411 - 452,453 - 466,511 - 515,-,516 - 661,-,662 - 666,-,-,411 - 452,453 - 466,511 - 515,-,516 - 661,-,662 - 666,-,-,411 - 523,524 - 533,-,534 - 551,552 - 645,646 - 652,653 - 666,-,-,411 - 452,453 - 466,511 - 515,-,516 - 661,-,662 - 666,-,-,411 - 452,453 - 466,511 - 515,-,516 - 661,-,662 - 666,-,-,
34,Arshad Iqbal,Pakistan,1,1,0.0,0.0,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,
35,Arshdeep Singh,India,3,3,133.33,-,-,-,-,-,411 - 536,541 - 623,624 - 666,-,-,-,-,-,-,411 - 536,541 - 623,624 - 666,-,-,-,-,-,-,411 - 536,541 - 623,624 - 666,-,-,-,-,-,-,411 - 536,541 - 623,624 - 666,-,-,-,-,-,-,411 - 536,541 - 623,624 - 666,-,-,-,-,-,-,411 - 536,541 - 623,624 - 666,-,-,Bowler
36,Aryan Lakra,United Arab Emirates,3,27,88.89,8.0,411 - 516,521 - 535,-,-,536 - 651,652 - 666,-,-,-,411 - 442,443 - 512,513 - 525,526 - 542,543 - 641,-,642 - 666,-,-,411 - 442,443 - 512,513 - 525,526 - 542,543 - 641,-,642 - 666,-,-,411 - 554,-,-,-,555 - 666,-,-,-,-,411 - 442,443 - 512,513 - 525,526 - 542,543 - 641,-,642 - 666,-,-,411 - 442,443 - 512,513 - 525,526 - 542,543 - 641,-,642 - 666,-,-,Bowler
37,Asghar Stanikzai,Afghanistan,5,87,154.02,33.5,411 - 654,655 - 666,-,-,-,-,-,-,-,411 - 414,-,415 - 435,436 - 464,465 - 563,564 - 666,-,-,-,411 - 431,432 - 446,451 - 465,466 - 543,544 - 643,644 - 655,656 - 666,-,-,411 - 554,-,555 - 632,633 - 666,-,-,-,-,-,411 - 516,-,-,521 - 524,525 - 655,656 - 663,664 - 666,-,-,411 - 434,-,-,-,435 - 631,-,632 - 666,-,-,Batter
38,Asif Ali,Pakistan,24,144,143.75,12.18,411 - 434,435 - 451,452 - 454,455 - 523,524 - 641,642 - 653,654 - 666,-,-,411 - 434,435 - 451,452 - 454,455 - 523,524 - 641,642 - 653,654 - 666,-,-,411 - 452,453 - 522,523 - 555,556 - 564,565 - 646,651 - 661,662 - 666,-,-,411 - 514,515 - 524,-,525 - 531,532 - 643,644 - 646,651 - 663,664 - 666,-,411 - 514,515 - 524,-,525 - 531,532 - 643,644 - 646,651 - 663,664 - 666,-,411 - 461,462 - 512,513 - 523,-,524 - 622,623 - 644,645 - 666,-,-,Batter
39,Avesh Khan,India,3,7,142.86,10.0,411 - 424,425 - 452,453 - 516,-,521 - 666,-,-,-,-,411 - 424,425 - 452,453 - 516,-,521 - 666,-,-,-,-,411 - 424,425 - 452,453 - 516,-,521 - 666,-,-,-,-,411 - 424,425 - 452,453 - 516,-,521 - 666,-,-,-,-,411 - 424,425 - 452,453 - 516,-,521 - 666,-,-,-,-,411 - 424,425 - 452,453 - 516,-,521 - 666,-,-,-,-,
40,Azam Khan,Pakistan,2,7,85.71,6.0,411 - 446,451 - 534,-,-,535 - 622,623 - 666,-,-,-,411 - 446,451 - 534,-,-,535 - 622,623 - 666,-,-,-,-,-,-,411 - 453,454 - 536,541 - 666,-,-,-,411 - 446,451 - 534,-,-,535 - 622,623 - 666,-,-,-,411 - 446,451 - 534,-,-,535 - 622,623 - 666,-,-,-,-,-,-,411 - 453,454 - 536,541 - 666,-,-,-,
41,Azmatullah Omarzai,Afghanistan,8,87,95.4,13.83,-,-,-,-,411 - 666,-,-,-,-,411 - 565,566 - 611,612 - 613,614 - 621,622 - 646,651 - 656,661 - 662,663 - 666,-,411 - 454,455 - 534,535 - 546,551 - 614,615 - 666,-,-,-,-,411 - 454,-,-,-,455 - 666,-,-,-,-,411 - 514,515 - 523,-,524 - 532,533 - 654,655 - 661,662 - 666,-,-,411 - 454,455 - 534,535 - 546,551 - 614,615 - 666,-,-,-,-,Bowler
42,B Evans,Zimbabwe,2,13,69.23,4.5,411 - 546,551 - 564,-,-,565 - 652,-,-,653 - 666,-,411 - 546,551 - 564,-,-,565 - 652,-,-,653 - 666,-,411 - 546,551 - 564,-,-,565 - 652,-,-,653 - 666,-,411 - 545,546 - 613,-,-,614 - 641,-,642 - 666,-,-,411 - 545,546 - 613,-,-,614 - 641,-,642 - 666,-,-,411 - 545,546 - 613,-,-,614 - 641,-,642 - 666,-,-,Allrounder
43,B Fernando,Sri Lanka,2,16,137.5,22.0,411 - 546,-,-,-,551 - 614,615 - 642,-,643 - 666,-,411 - 546,-,-,-,551 - 614,615 - 642,-,643 - 666,-,-,-,-,-,411 - 666,-,-,-,-,411 - 546,-,-,-,551 - 614,615 - 642,-,643 - 666,-,411 - 546,-,-,-,551 - 614,615 - 642,-,643 - 666,-,411 - 443,444 - 463,464 - 523,524 - 544,545 - 625,-,626 - 666,-,-,Bowler
44,B Kumar,India,8,58,67.24,9.75,411 - 454,-,-,-,455 - 666,-,-,-,-,411 - 623,-,-,-,624 - 666,-,-,-,-,411 - 444,445 - 512,-,-,513 - 632,633 - 651,652 - 666,-,-,411 - 454,-,-,-,455 - 666,-,-,-,-,411 - 566,611 - 614,-,-,615 - 666,-,-,-,-,411 - 423,-,-,-,424 - 455,-,456 - 634,635 - 666,-,Bowler
45,B Mavuta,Zimbabwe,4,13,92.31,6.0,411 - 453,454 - 513,514 - 533,-,534 - 631,632 - 666,-,-,-,411 - 453,454 - 513,514 - 533,-,534 - 631,632 - 666,-,-,-,411 - 453,454 - 513,514 - 533,-,534 - 631,632 - 666,-,-,-,411 - 453,454 - 536,-,-,541 - 623,-,624 - 666,-,-,411 - 453,454 - 536,-,-,541 - 623,-,624 - 666,-,-,411 - 453,454 - 536,-,-,541 - 623,-,624 - 666,-,-,
46,B Muzarabani,Zimbabwe,5,19,63.16,4.0,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 565,566 - 631,-,632 - 644,645 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 565,566 - 631,-,632 - 644,645 - 666,-,-,-,-,Bowler
47,B White,Ireland,1,4,50.0,-,411 - 555,-,-,-,556 - 644,645 - 666,-,-,-,411 - 555,-,-,-,556 - 644,645 - 666,-,-,-,411 - 555,-,-,-,556 - 644,645 - 666,-,-,-,411 - 555,-,-,-,556 - 644,645 - 666,-,-,-,411 - 555,-,-,-,556 - 644,645 - 666,-,-,-,411 - 555,-,-,-,556 - 644,645 - 666,-,-,-,
48,BA King,West Indies,19,424,124.76,29.39,411 - 516,521 - 524,525 - 526,531 - 566,611 - 654,655 - 663,664 - 666,-,-,411 - 455,456 - 466,511 - 514,515 - 533,534 - 653,654 - 661,662 - 666,-,-,-,411 - 436,-,441 - 466,511 - 666,-,-,-,-,411 - 523,524 - 526,531 - 543,544 - 561,562 - 654,655 - 663,664 - 665,666 - 666,-,411 - 466,511 - 515,516 - 523,524 - 533,534 - 655,656 - 661,662 - 665,666 - 666,-,-,411 - 436,-,441 - 466,511 - 666,-,-,-,-,Batter
49,BA Stokes,England,6,86,136.05,23.4,411 - 554,-,-,-,555 - 666,-,-,-,-,411 - 515,516 - 525,-,526 - 545,546 - 656,-,661 - 666,-,-,411 - 513,514 - 526,-,531 - 543,544 - 613,614 - 633,634 - 663,664 - 666,-,411 - 554,-,-,-,555 - 666,-,-,-,-,-,411 - 413,414 - 435,436 - 453,454 - 636,-,641 - 666,-,-,411 - 513,514 - 526,-,531 - 543,544 - 613,614 - 633,634 - 663,664 - 666,-,Allrounder
50,BC Fortuin,South Africa,4,31,129.03,13.33,411 - 453,454 - 515,-,-,516 - 645,646 - 666,-,-,-,411 - 453,454 - 515,-,-,516 - 645,646 - 666,-,-,-,411 - 453,454 - 513,-,514 - 562,563 - 651,-,652 - 666,-,-,411 - 431,-,-,432 - 511,512 - 666,-,-,-,-,411 - 431,-,-,432 - 511,512 - 666,-,-,-,-,411 - 453,454 - 513,-,514 - 562,563 - 651,-,652 - 666,-,-,
51,BD Glover,Netherlands,2,3,0.0,0.0,411 - 623,624 - 666,-,-,-,-,-,-,-,411 - 623,624 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 623,624 - 666,-,-,-,-,-,-,-,411 - 623,624 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,Bowler
52,BE Hendricks,South Africa,1,1,0.0,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,
53,BFW de Leede,Netherlands,8,174,106.32,30.83,411 - 645,646 - 651,652 - 652,653 - 655,656 - 665,-,-,666 - 666,-,411 - 442,-,443 - 451,452 - 456,461 - 652,-,653 - 666,-,-,411 - 421,422 - 425,426 - 433,434 - 456,461 - 616,621 - 643,644 - 666,-,-,411 - 416,421 - 452,-,453 - 466,511 - 652,653 - 666,-,-,-,411 - 454,455 - 456,461 - 463,464 - 512,513 - 641,642 - 651,652 - 666,-,-,411 - 421,422 - 425,426 - 433,434 - 456,461 - 616,621 - 643,644 - 666,-,-,Allrounder
54,BJ Dwarshuis,Australia,1,2,0.0,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
55,BJ McCarthy,Ireland,10,112,125.0,20.0,411 - 461,-,462 - 465,466 - 523,524 - 615,616 - 655,656 - 666,-,-,411 - 461,-,462 - 465,466 - 523,524 - 615,616 - 655,656 - 666,-,-,411 - 546,551 - 555,556 - 565,566 - 621,622 - 661,662 - 666,-,-,-,411 - 453,454 - 513,-,514 - 533,534 - 656,661 - 666,-,-,-,411 - 453,454 - 513,-,514 - 533,534 - 656,661 - 666,-,-,-,411 - 414,415 - 443,444 - 512,513 - 542,543 - 641,-,642 - 666,-,-,Bowler
56,BKG Mendis,Sri Lanka,18,354,128.53,28.44,411 - 531,532 - 536,541 - 544,545 - 554,555 - 651,652 - 652,653 - 666,-,-,411 - 425,426 - 442,443 - 452,453 - 516,521 - 642,643 - 653,654 - 666,-,-,411 - 414,415 - 425,426 - 451,452 - 524,525 - 622,623 - 655,656 - 666,-,-,411 - 461,462 - 464,465 - 534,535 - 544,545 - 646,-,651 - 666,-,-,411 - 443,444 - 446,451 - 454,455 - 464,465 - 642,643 - 643,644 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,
