striker,team,type,note
RA Tripathi,Sunrisers Hyderabad,Batter,
RD Chahar,Punjab Kings,Bowler,
RD Gaikwad,Chennai Super Kings,Batter,
RG Sharma,Mumbai Indians,Batter,C
RK Singh,Kolkata Knight Riders,Batter,
RM Patidar,Royal Challengers Bangalore,Batter,
RP Meredith,Mumbai Indians,Bowler,OS
RR Pant,Delhi Capitals,WK Batter,C
RV Patel,Delhi Capitals,Batter,
RV Uthappa,Chennai Super Kings,Batter,
Ramandeep Singh,Mumbai Indians,Batter,
Rashid Khan,Gujarat Titans,Allrounder,OS
Rasikh Salam,Kolkata Knight Riders,Bowler,
Ravi Bishnoi,Lucknow Super Giants,Bowler,
S Dhawan,Punjab Kings,Batter,
S Dube,Chennai Super Kings,Allrounder,
S Gopal,Sunrisers Hyderabad,Allrounder,
SA Abbott,Sunrisers Hyderabad,Allrounder,OS
SA Yadav,Mumbai Indians,Batter,
SE Rutherford,Royal Challengers Bangalore,Batter,OS
SN Khan,Delhi Capitals,Batter,
SN Thakur,Delhi Capitals,Bowler,
SO Hetmyer,Rajasthan Royals,Batter,OS
SP Jackson,Kolkata Knight Riders,WK Batter,
SP Narine,Kolkata Knight Riders,Allrounder,OS
SS Iyer,Kolkata Knight Riders,Batter,C
SS Prabhudessai,Royal Challengers Bangalore,Allrounder,
SV Samson,Rajasthan Royals,WK Batter,C
SW Billings,Kolkata Knight Riders,WK Batter,OS
Shahbaz Ahmed,Royal Challengers Bangalore,Allrounder,
Shashank Singh,Sunrisers Hyderabad,Allrounder,
Shivam Mavi,Kolkata Knight Riders,Allrounder,
Shubman Gill,Gujarat Titans,Batter,
Simarjeet Singh,Chennai Super Kings,Bowler,
T Stubbs,Mumbai Indians,WK Batter,OS
TA Boult,Rajasthan Royals,Bowler,OS
TG Southee,Kolkata Knight Riders,Bowler,OS
TH David,Mumbai Indians,Batter,OS
TL Seifert,Delhi Capitals,WK Batter,OS
TS Mills,Mumbai Indians,Bowler,OS
Tilak Varma,Mumbai Indians,Allrounder,
UT Yadav,Kolkata Knight Riders,Bowler,
Umran Malik,Sunrisers Hyderabad,Bowler,
V Kohli,Royal Challengers Bangalore,Batter,
V Shankar,Gujarat Titans,Allrounder,
VG Arora,Punjab Kings,Bowler,
VR Iyer,Kolkata Knight Riders,Allrounder,
WP Saha,Gujarat Titans,WK Batter,
Washington Sundar,Sunrisers Hyderabad,Allrounder,
YBK Jaiswal,Rajasthan Royals,Batter,
YS Chahal,Rajasthan Royals,Bowler,
Yash Dayal,Gujarat Titans,Bowler,
