,name,team,innings,ballsfaced,batting_sr,batting_avg,PaPP0,PaPPW,PaPP6,PaPP4,PaPP1,PaPPE,PaPP2,PaPP3,PaPP5,PaMO0,PaMOW,PaMO6,PaMO4,PaMO1,PaMOE,PaMO2,PaMO3,PaMO5,PaDO0,PaDOW,PaDO6,PaDO4,PaDO1,PaDOE,PaDO2,PaDO3,PaDO5,SpPP0,SpPPW,SpPP6,SpPP4,SpPP1,SpPPE,SpPP2,SpPP3,SpPP5,SpMO0,SpMOW,SpMO6,SpMO4,SpMO1,SpMOE,SpMO2,SpMO3,SpMO5,SpDO0,SpDOW,SpDO6,SpDO4,SpDO1,SpDOE,SpDO2,SpDO3,SpDO5,type
27,D Pretorius,Chennai Super Kings,5,28,157.14,11.0,411 - 445,446 - 466,511 - 523,524 - 545,546 - 662,-,663 - 666,-,-,411 - 445,446 - 466,511 - 523,524 - 545,546 - 662,-,663 - 666,-,-,411 - 445,446 - 466,511 - 523,524 - 545,546 - 662,-,663 - 666,-,-,411 - 452,453 - 535,536 - 623,-,-,-,624 - 666,-,-,411 - 452,453 - 535,536 - 623,-,-,-,624 - 666,-,-,411 - 452,453 - 535,536 - 623,-,-,-,624 - 666,-,-,Allrounder
28,DA Miller,Gujarat Titans,16,335,143.58,68.71,411 - 446,-,-,451 - 556,561 - 666,-,-,-,-,411 - 462,463 - 463,464 - 464,465 - 516,521 - 636,641 - 655,656 - 666,-,-,411 - 424,425 - 434,435 - 446,451 - 515,516 - 632,633 - 643,644 - 666,-,-,411 - 432,-,-,433 - 523,524 - 666,-,-,-,-,411 - 456,461 - 461,462 - 515,516 - 525,526 - 654,655 - 656,661 - 666,-,-,411 - 414,415 - 423,424 - 453,454 - 461,462 - 653,-,654 - 666,-,-,Batter
29,DA Warner,Delhi Capitals,12,285,151.58,48.0,411 - 454,455 - 461,462 - 466,511 - 553,554 - 645,646 - 662,663 - 664,665 - 666,-,411 - 441,442 - 443,444 - 455,456 - 515,516 - 642,643 - 652,653 - 664,665 - 666,-,411 - 525,526 - 534,-,535 - 613,614 - 644,645 - 661,-,662 - 666,-,411 - 511,512 - 521,522 - 535,536 - 563,564 - 645,646 - 666,-,-,-,411 - 423,424 - 431,432 - 441,442 - 464,465 - 646,651 - 656,661 - 666,-,-,411 - 522,-,-,523 - 546,551 - 666,-,-,-,-,Batter
30,DJ Bravo,Chennai Super Kings,6,24,95.83,11.5,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,-,-,-,411 - 426,431 - 646,651 - 666,-,-,-,-,411 - 461,462 - 524,-,525 - 666,-,-,-,-,-,411 - 461,462 - 524,-,525 - 666,-,-,-,-,-,-,-,411 - 426,431 - 646,651 - 666,-,-,-,Allrounder
31,DJ Hooda,Lucknow Super Giants,14,329,136.78,34.62,411 - 554,-,-,555 - 624,625 - 652,653 - 654,655 - 664,665 - 666,-,411 - 446,451 - 454,455 - 465,466 - 526,531 - 646,651 - 654,655 - 666,-,-,-,411 - 445,446 - 462,463 - 516,521 - 644,645 - 666,-,-,-,411 - 432,-,433 - 446,451 - 464,465 - 666,-,-,-,-,411 - 424,425 - 431,432 - 443,444 - 455,456 - 641,642 - 652,653 - 666,-,-,-,411 - 461,-,462 - 524,525 - 615,616 - 643,644 - 666,-,-,Allrounder
32,DJ Mitchell,Rajasthan Royals,2,44,75.0,16.5,411 - 666,-,-,-,-,-,-,-,-,411 - 423,424 - 445,-,-,446 - 644,645 - 655,656 - 666,-,-,411 - 423,424 - 445,-,-,446 - 644,645 - 655,656 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 451,-,-,452 - 456,461 - 653,654 - 661,662 - 666,-,-,411 - 451,-,-,452 - 456,461 - 653,654 - 661,662 - 666,-,-,Allrounder
33,DJ Willey,Royal Challengers Bangalore,2,30,60.0,9.0,411 - 646,-,-,651 - 653,654 - 663,664 - 666,-,-,-,411 - 621,622 - 634,-,635 - 644,645 - 654,655 - 663,664 - 666,-,-,411 - 621,622 - 634,-,635 - 644,645 - 654,655 - 663,664 - 666,-,-,411 - 646,-,-,651 - 653,654 - 663,664 - 666,-,-,-,411 - 621,622 - 634,-,635 - 644,645 - 654,655 - 663,664 - 666,-,-,411 - 621,622 - 634,-,635 - 644,645 - 654,655 - 663,664 - 666,-,-,Allrounder
34,DP Conway,Chennai Super Kings,7,172,146.51,42.0,411 - 461,462 - 511,512 - 513,514 - 531,532 - 651,652 - 662,663 - 664,665 - 666,-,411 - 433,-,434 - 445,446 - 521,522 - 626,631 - 646,651 - 666,-,-,-,411 - 422,423 - 434,435 - 461,462 - 654,-,655 - 666,-,-,411 - 521,-,522 - 561,562 - 625,626 - 666,-,-,-,-,411 - 431,432 - 435,436 - 454,455 - 525,526 - 656,661 - 664,665 - 666,-,-,-,411 - 422,423 - 434,435 - 461,462 - 654,-,655 - 666,-,-,WK Batter
35,DR Sams,Mumbai Indians,10,36,105.56,5.43,411 - 614,615 - 633,-,-,634 - 651,652 - 666,-,-,-,411 - 451,452 - 535,-,-,536 - 644,645 - 666,-,-,-,411 - 514,515 - 536,541 - 562,-,563 - 645,646 - 666,-,-,-,411 - 614,615 - 633,-,-,634 - 651,652 - 666,-,-,-,-,-,411 - 436,-,441 - 566,-,611 - 666,-,-,-,411 - 555,-,556 - 633,634 - 666,-,-,-,-,Allrounder
36,E Lewis,Lucknow Super Giants,5,56,130.36,24.33,411 - 532,533 - 546,-,551 - 621,622 - 666,-,-,-,-,-,-,411 - 423,424 - 466,511 - 623,624 - 636,641 - 666,-,-,411 - 462,-,463 - 516,521 - 543,544 - 615,616 - 661,662 - 666,-,-,411 - 662,663 - 666,-,-,-,-,-,-,-,411 - 565,566 - 614,-,-,615 - 661,662 - 666,-,-,-,411 - 462,-,463 - 516,521 - 543,544 - 615,616 - 661,662 - 666,-,-,Batter
37,F du Plessis,Royal Challengers Bangalore,16,367,127.52,31.2,411 - 526,531 - 534,535 - 535,536 - 563,564 - 644,645 - 656,661 - 664,665 - 666,-,411 - 453,454 - 464,465 - 515,516 - 546,551 - 662,-,663 - 666,-,-,-,411 - 424,425 - 435,436 - 463,464 - 634,635 - 641,642 - 666,-,-,411 - 551,552 - 553,554 - 555,556 - 613,614 - 662,663 - 666,-,-,-,411 - 434,435 - 442,443 - 453,454 - 464,465 - 636,641 - 643,644 - 666,-,-,411 - 422,-,-,423 - 526,-,-,531 - 666,-,-,Batter
38,FA Allen,Mumbai Indians,1,7,114.29,8.0,411 - 462,463 - 543,-,-,544 - 625,-,626 - 666,-,-,411 - 462,463 - 543,-,-,544 - 625,-,626 - 666,-,-,411 - 462,463 - 543,-,-,544 - 625,-,626 - 666,-,-,411 - 522,-,-,523 - 614,615 - 666,-,-,-,-,411 - 522,-,-,523 - 614,615 - 666,-,-,-,-,411 - 522,-,-,523 - 614,615 - 666,-,-,-,-,Allrounder
39,Fazalhaq Farooqi,Sunrisers Hyderabad,1,8,25.0,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
40,GJ Maxwell,Royal Challengers Bangalore,13,177,170.06,30.1,411 - 436,441 - 444,445 - 452,453 - 541,542 - 644,645 - 655,656 - 666,-,-,411 - 546,551 - 554,-,555 - 612,613 - 642,643 - 652,653 - 662,663 - 666,-,411 - 422,423 - 432,433 - 456,461 - 535,536 - 631,632 - 652,653 - 666,-,-,411 - 432,433 - 446,451 - 523,524 - 556,561 - 652,-,653 - 666,-,-,411 - 426,431 - 443,444 - 511,512 - 533,534 - 651,652 - 655,656 - 666,-,-,-,-,-,411 - 524,525 - 666,-,-,-,-,Allrounder
41,HE van der Dussen,Rajasthan Royals,3,24,91.67,11.0,411 - 531,532 - 543,-,544 - 555,556 - 641,642 - 653,654 - 666,-,-,411 - 531,532 - 543,-,544 - 555,556 - 641,642 - 653,654 - 666,-,-,411 - 444,-,-,445 - 463,464 - 614,615 - 633,634 - 666,-,-,411 - 451,452 - 535,-,-,536 - 623,624 - 666,-,-,-,411 - 451,452 - 535,-,-,536 - 623,624 - 666,-,-,-,411 - 444,-,-,445 - 463,464 - 614,615 - 633,634 - 666,-,-,Batter
42,HH Pandya,Gujarat Titans,15,370,131.35,54.0,411 - 543,-,-,544 - 612,613 - 644,645 - 655,656 - 666,-,-,411 - 432,433 - 443,444 - 444,445 - 522,523 - 632,633 - 644,645 - 666,-,-,411 - 422,423 - 424,425 - 432,433 - 462,463 - 642,643 - 662,663 - 666,-,-,411 - 562,-,-,-,563 - 666,-,-,-,-,411 - 463,464 - 465,466 - 516,521 - 531,532 - 654,655 - 656,661 - 665,666 - 666,-,411 - 436,-,-,441 - 456,461 - 646,651 - 656,661 - 666,-,-,Allrounder
43,HR Shokeen,Mumbai Indians,2,48,89.58,21.5,411 - 624,-,-,-,625 - 645,646 - 666,-,-,-,411 - 555,556 - 564,-,565 - 613,614 - 653,-,654 - 666,-,-,411 - 555,556 - 564,-,565 - 613,614 - 653,-,654 - 666,-,-,411 - 624,-,-,-,625 - 645,646 - 666,-,-,-,411 - 561,562 - 564,-,565 - 623,624 - 654,-,655 - 666,-,-,411 - 561,562 - 564,-,565 - 623,624 - 654,-,655 - 666,-,-,Bowler
44,HV Patel,Royal Challengers Bangalore,7,39,110.26,10.75,411 - 521,522 - 613,-,-,614 - 666,-,-,-,-,411 - 521,522 - 613,-,-,614 - 666,-,-,-,-,411 - 521,522 - 543,-,544 - 565,566 - 666,-,-,-,-,411 - 644,-,-,-,645 - 653,654 - 661,662 - 666,-,-,411 - 644,-,-,-,645 - 653,654 - 661,662 - 666,-,-,411 - 522,-,523 - 546,551 - 562,563 - 642,643 - 666,-,-,-,Bowler
45,Harpreet Brar,Punjab Kings,3,25,88.0,7.33,411 - 654,655 - 662,-,663 - 666,-,-,-,-,-,411 - 654,655 - 662,-,663 - 666,-,-,-,-,-,-,411 - 536,541 - 666,-,-,-,-,-,-,411 - 632,633 - 635,636 - 642,-,643 - 666,-,-,-,-,411 - 632,633 - 635,636 - 642,-,643 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
46,Harshit Rana,Kolkata Knight Riders,2,2,0.0,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
47,Ishan Kishan,Mumbai Indians,14,346,119.65,31.85,411 - 542,543 - 544,545 - 551,552 - 612,613 - 652,653 - 661,662 - 665,666 - 666,-,411 - 445,446 - 513,514 - 515,516 - 543,544 - 645,646 - 653,654 - 666,-,-,-,-,-,411 - 521,522 - 632,633 - 651,652 - 666,-,-,411 - 515,-,-,516 - 552,553 - 656,-,661 - 666,-,-,411 - 424,425 - 431,432 - 441,442 - 445,446 - 656,-,661 - 666,-,-,-,-,411 - 436,441 - 466,511 - 666,-,-,-,-,WK Batter
48,J Suchith,Sunrisers Hyderabad,2,8,25.0,1.0,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 451,452 - 535,-,-,536 - 666,-,-,-,-,411 - 451,452 - 535,-,-,536 - 666,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,Bowler
49,JC Buttler,Rajasthan Royals,17,575,149.04,61.21,411 - 546,551 - 553,554 - 563,564 - 626,631 - 654,655 - 663,664 - 666,-,-,411 - 453,454 - 456,461 - 463,464 - 533,534 - 645,646 - 646,651 - 666,-,-,411 - 421,422 - 433,434 - 462,463 - 535,536 - 636,641 - 652,653 - 666,-,-,411 - 461,-,462 - 516,521 - 535,536 - 644,645 - 651,652 - 666,-,-,411 - 456,-,461 - 511,512 - 524,525 - 653,654 - 663,664 - 665,666 - 666,-,411 - 446,451 - 455,456 - 551,-,552 - 661,-,662 - 666,-,-,WK Batter
50,JD Unadkat,Mumbai Indians,5,37,159.46,59.0,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 515,516 - 522,523 - 535,536 - 555,556 - 622,623 - 625,626 - 666,-,-,411 - 621,-,-,-,622 - 666,-,-,-,-,411 - 621,-,-,-,622 - 666,-,-,-,-,411 - 522,-,-,-,523 - 666,-,-,-,-,Bowler
51,JDS Neesham,Rajasthan Royals,2,27,114.81,31.0,-,-,-,-,411 - 623,-,624 - 666,-,-,-,-,-,-,411 - 623,-,624 - 666,-,-,-,411 - 453,-,-,454 - 623,-,624 - 666,-,-,411 - 531,-,-,532 - 543,544 - 666,-,-,-,-,411 - 531,-,-,532 - 543,544 - 666,-,-,-,-,411 - 452,-,-,453 - 535,536 - 666,-,-,-,-,Allrounder
52,JJ Bumrah,Mumbai Indians,4,8,0.0,0.0,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
53,JM Bairstow,Punjab Kings,11,173,145.09,25.1,411 - 456,461 - 465,466 - 524,525 - 616,621 - 655,656 - 663,664 - 666,-,-,411 - 453,454 - 511,-,512 - 533,534 - 653,654 - 666,-,-,-,411 - 444,445 - 555,-,556 - 633,634 - 666,-,-,-,-,411 - 631,-,632 - 634,635 - 644,645 - 663,-,664 - 666,-,-,411 - 442,443 - 454,-,455 - 515,516 - 636,641 - 661,662 - 666,-,-,411 - 444,445 - 555,-,556 - 633,634 - 666,-,-,-,-,WK Batter
54,JM Sharma,Punjab Kings,10,143,163.64,29.25,-,-,-,-,411 - 666,-,-,-,-,411 - 522,523 - 533,534 - 541,542 - 611,612 - 643,644 - 651,652 - 664,665 - 666,-,411 - 433,434 - 436,441 - 461,462 - 543,544 - 645,646 - 655,656 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 462,463 - 511,512 - 524,525 - 543,544 - 653,654 - 655,656 - 666,-,-,411 - 442,443 - 463,464 - 523,-,524 - 625,626 - 645,646 - 666,-,-,WK Batter
