,name,PP0,PP1,PP2,PP3,PP4,PP5,PP6,PPE,PPW,MO0,MO1,MO2,MO3,MO4,MO5,MO6,MOE,MOW,DO0,DO1,DO2,DO3,DO4,DO5,DO6,DOE,DOW,team,type
10,AJ Turner,411 - 532,533 - 626,631 - 633,-,634 - 636,-,641 - 643,644 - 663,664 - 666,411 - 416,421 - 561,562 - 666,-,-,-,-,-,-,411 - 623,624 - 666,-,-,-,-,-,-,-,Australia,Spin
11,AJ Tye,-,-,-,-,-,-,-,-,-,411 - 534,535 - 624,625 - 633,-,634 - 642,-,643 - 651,652 - 661,662 - 666,411 - 453,454 - 554,555 - 566,-,611 - 622,-,623 - 631,632 - 645,646 - 666,Australia,Pace
12,AK Markram,411 - 532,533 - 614,615 - 622,-,623 - 636,-,641 - 652,653 - 664,665 - 666,411 - 456,461 - 623,624 - 632,-,633 - 635,-,636 - 651,652 - 656,661 - 666,411 - 666,-,-,-,-,-,-,-,-,South Africa,Spin
13,AL Phehlukwayo,411 - 553,554 - 564,-,-,565 - 631,-,632 - 646,651 - 654,655 - 666,411 - 441,442 - 553,554 - 566,-,611 - 626,-,631 - 634,635 - 654,655 - 666,-,411 - 523,524 - 543,-,544 - 555,-,556 - 633,634 - 663,664 - 666,South Africa,Pace
14,AM Fernando,411 - 442,443 - 535,536 - 556,561 - 564,565 - 633,-,634 - 654,655 - 662,663 - 666,-,411 - 536,541 - 562,-,563 - 634,-,635 - 655,-,656 - 666,411 - 533,534 - 544,545 - 611,-,612 - 633,-,634 - 655,-,656 - 666,Sri Lanka,Pace
15,AR McBrine,411 - 432,433 - 621,-,-,622 - 666,-,-,-,-,411 - 426,431 - 623,624 - 633,-,634 - 641,-,642 - 656,661 - 664,665 - 666,-,411 - 466,-,511 - 536,-,-,541 - 566,611 - 636,641 - 666,Ireland,Spin
16,AR Patel,411 - 464,465 - 546,551 - 561,-,562 - 632,-,633 - 641,642 - 642,643 - 666,411 - 513,514 - 623,624 - 632,-,633 - 645,-,646 - 655,656 - 662,663 - 666,411 - 521,522 - 623,624 - 626,-,631 - 633,-,634 - 646,651 - 663,664 - 666,India,Spin
17,AS Joseph,411 - 443,444 - 541,542 - 553,554 - 554,555 - 622,-,623 - 636,641 - 654,655 - 666,411 - 455,456 - 611,612 - 623,-,624 - 641,-,642 - 646,651 - 654,655 - 666,411 - 464,465 - 615,616 - 625,-,626 - 631,-,-,632 - 652,653 - 666,West Indies,Pace
18,AU Rashid,411 - 534,535 - 625,626 - 636,-,641 - 651,-,652 - 654,655 - 663,664 - 666,411 - 451,452 - 615,616 - 631,632 - 632,633 - 643,-,644 - 654,655 - 656,661 - 666,411 - 443,444 - 561,562 - 613,-,614 - 623,-,624 - 646,651 - 652,653 - 666,England,Spin
19,AY Patel,411 - 636,641 - 653,654 - 654,655 - 655,656 - 661,-,-,662 - 663,664 - 666,411 - 546,551 - 636,641 - 642,-,643 - 646,-,651 - 652,653 - 654,655 - 666,411 - 663,664 - 664,665 - 665,-,-,-,-,-,666 - 666,New Zealand,Spin
20,Aamer Jamal,-,-,-,-,-,-,-,-,-,-,411 - 525,526 - 536,-,541 - 634,-,635 - 645,646 - 655,656 - 666,411 - 656,661 - 662,-,-,-,-,663 - 664,665 - 666,-,Pakistan,Pace
21,Aayan Afzal Khan,411 - 452,453 - 561,562 - 566,-,611 - 661,-,-,-,662 - 666,411 - 526,531 - 642,643 - 645,646 - 652,-,-,653 - 655,-,656 - 666,-,-,-,-,-,-,-,-,-,United Arab Emirates,Spin
22,Afif Hossain,-,-,-,-,-,-,-,-,-,411 - 466,511 - 612,613 - 632,-,633 - 655,-,656 - 664,-,665 - 666,411 - 514,515 - 616,-,-,621 - 631,-,632 - 643,644 - 654,655 - 666,Bangladesh,Spin
23,Ahmed Raza,-,-,-,-,-,-,-,-,-,411 - 426,431 - 616,621 - 636,641 - 642,643 - 653,-,654 - 661,662 - 664,665 - 666,-,-,-,-,-,-,-,-,-,United Arab Emirates,Spin
24,Akif Raja,411 - 433,434 - 555,-,-,556 - 644,-,-,-,645 - 666,411 - 463,464 - 553,-,-,554 - 616,-,-,621 - 643,644 - 666,411 - 656,661 - 664,-,-,-,-,-,665 - 666,-,United Arab Emirates,Pace
25,Aminul Islam Biplob,-,-,-,-,-,-,-,-,-,411 - 443,444 - 623,624 - 634,-,635 - 651,-,652 - 653,654 - 661,662 - 666,411 - 623,-,-,-,-,-,624 - 666,-,-,Bangladesh,Spin
26,Amir Hamza,411 - 512,513 - 625,-,-,626 - 656,-,-,661 - 666,-,411 - 416,421 - 543,-,-,544 - 634,-,-,635 - 652,653 - 666,-,-,-,-,-,-,-,-,-,Afghanistan,Spin
27,Arshad Iqbal,411 - 553,554 - 643,644 - 666,-,-,-,-,-,-,411 - 561,562 - 654,-,-,655 - 662,-,-,-,663 - 666,-,-,-,-,-,-,-,-,-,Pakistan,Pace
28,Arshdeep Singh,411 - 525,526 - 565,566 - 612,-,613 - 642,-,643 - 644,645 - 656,661 - 666,411 - 525,526 - 615,616 - 625,626 - 626,631 - 642,-,643 - 651,652 - 663,664 - 666,411 - 444,445 - 552,553 - 566,611 - 611,612 - 626,-,631 - 635,636 - 646,651 - 666,India,Pace
29,Aryan Lakra,411 - 512,513 - 624,-,-,625 - 645,-,-,-,646 - 666,411 - 456,461 - 616,621 - 636,641 - 646,651 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,United Arab Emirates,Spin
30,Avesh Khan,411 - 553,554 - 612,613 - 621,622 - 622,623 - 643,-,644 - 644,645 - 655,656 - 666,411 - 522,523 - 612,613 - 622,623 - 623,624 - 642,-,643 - 652,653 - 662,663 - 666,-,411 - 465,466 - 533,-,534 - 561,-,562 - 635,636 - 666,-,India,Pace
31,Azmatullah Omarzai,411 - 456,461 - 533,534 - 536,-,541 - 623,-,624 - 633,634 - 656,661 - 666,411 - 452,453 - 611,612 - 621,-,622 - 644,-,645 - 654,655 - 663,664 - 666,411 - 464,465 - 556,561 - 563,-,564 - 621,-,-,622 - 642,643 - 666,Afghanistan,Pace
32,B Evans,411 - 536,541 - 556,561 - 613,614 - 621,622 - 646,-,-,651 - 662,663 - 666,411 - 435,436 - 563,564 - 616,621 - 623,624 - 633,-,-,634 - 656,661 - 666,411 - 633,634 - 644,-,-,645 - 655,-,656 - 666,-,-,Zimbabwe,Pace
33,B Fernando,411 - 533,534 - 616,621 - 625,626 - 626,631 - 655,-,656 - 661,662 - 663,664 - 666,411 - 432,433 - 563,564 - 614,-,615 - 644,-,645 - 646,651 - 661,662 - 666,411 - 466,511 - 556,561 - 563,-,564 - 631,-,632 - 634,635 - 645,646 - 666,Sri Lanka,Pace
34,B Kumar,411 - 552,553 - 621,622 - 626,-,631 - 646,-,651 - 652,653 - 661,662 - 666,411 - 526,531 - 623,624 - 635,-,636 - 646,-,651 - 653,654 - 661,662 - 666,411 - 433,434 - 535,536 - 553,-,554 - 614,-,615 - 626,631 - 652,653 - 666,India,Pace
35,B Mavuta,-,-,-,-,-,-,-,-,-,411 - 444,445 - 565,566 - 621,622 - 625,626 - 636,-,641 - 651,652 - 665,666 - 666,-,-,-,-,-,-,-,-,-,Zimbabwe,Spin
36,B Muzarabani,411 - 463,464 - 613,614 - 624,-,625 - 646,-,651 - 651,652 - 656,661 - 666,411 - 534,535 - 626,631 - 636,641 - 641,642 - 653,-,654 - 661,662 - 665,666 - 666,411 - 446,451 - 542,543 - 563,-,564 - 621,-,622 - 636,641 - 654,655 - 666,Zimbabwe,Pace
37,B Shikongo,411 - 445,446 - 466,511 - 552,-,553 - 563,-,564 - 624,625 - 645,646 - 666,411 - 421,422 - 566,611 - 624,-,625 - 653,-,-,654 - 655,656 - 666,-,-,-,-,-,-,-,-,-,Namibia,Pace
38,B White,-,-,-,-,-,-,-,-,-,411 - 452,453 - 622,623 - 632,-,633 - 654,-,655 - 656,661 - 664,665 - 666,411 - 465,466 - 532,533 - 555,-,-,-,-,556 - 621,622 - 666,Ireland,Spin
39,BA Stokes,411 - 525,526 - 643,-,-,-,-,-,644 - 666,-,411 - 435,436 - 565,566 - 622,-,623 - 641,-,642 - 651,652 - 661,662 - 666,-,-,-,-,-,-,-,-,-,England,Pace
40,BC Fortuin,411 - 522,523 - 623,624 - 634,635 - 635,636 - 643,-,644 - 655,656 - 662,663 - 666,411 - 511,512 - 623,624 - 633,-,634 - 641,-,642 - 644,645 - 652,653 - 666,411 - 553,554 - 635,-,-,-,-,636 - 645,-,646 - 666,South Africa,Spin
41,BD Glover,411 - 613,614 - 642,-,-,643 - 646,-,651 - 654,-,655 - 666,411 - 544,545 - 633,634 - 641,-,642 - 653,-,-,654 - 666,-,-,-,-,-,-,-,-,-,-,Netherlands,Pace
42,BE Hendricks,411 - 525,526 - 611,612 - 622,-,623 - 654,-,-,655 - 662,663 - 666,411 - 431,432 - 562,563 - 612,-,613 - 644,-,645 - 656,-,661 - 666,411 - 452,453 - 566,-,611 - 613,614 - 641,-,642 - 652,653 - 663,664 - 666,South Africa,Pace
43,BFW de Leede,411 - 415,416 - 561,562 - 615,-,616 - 643,-,-,644 - 652,653 - 666,411 - 511,512 - 614,615 - 624,625 - 626,631 - 652,-,653 - 654,655 - 663,664 - 666,411 - 446,451 - 524,525 - 543,-,544 - 553,-,554 - 563,564 - 612,613 - 666,Netherlands,Pace
44,BJ Dwarshuis,411 - 453,454 - 562,563 - 634,-,635 - 666,-,-,-,-,-,411 - 466,511 - 566,-,611 - 636,-,641 - 666,-,-,-,411 - 466,511 - 536,-,541 - 636,-,641 - 666,-,-,Australia,Pace
45,BJ McCarthy,411 - 523,524 - 566,611 - 614,615 - 615,616 - 655,-,656 - 661,662 - 664,665 - 666,411 - 441,442 - 614,615 - 624,625 - 625,626 - 642,-,643 - 653,654 - 663,664 - 666,411 - 436,441 - 542,543 - 612,-,613 - 635,-,636 - 641,642 - 663,664 - 666,Ireland,Pace
46,BM Scholtz,411 - 512,513 - 626,631 - 636,-,641 - 653,-,654 - 661,662 - 662,663 - 666,411 - 463,464 - 632,633 - 642,643 - 643,644 - 652,-,653 - 655,656 - 656,661 - 666,-,-,-,-,-,-,-,-,-,Namibia,Spin
47,BM Tickner,411 - 563,564 - 624,625 - 631,-,632 - 645,-,-,646 - 654,655 - 666,411 - 466,511 - 565,566 - 616,621 - 622,623 - 644,-,-,645 - 654,655 - 666,411 - 442,443 - 541,542 - 554,-,555 - 633,-,634 - 652,653 - 662,663 - 666,New Zealand,Pace
48,BTJ Wheal,411 - 456,461 - 553,554 - 612,-,613 - 636,-,641 - 644,645 - 662,663 - 666,411 - 514,515 - 615,616 - 626,-,631 - 652,-,653 - 661,662 - 663,664 - 666,411 - 416,421 - 531,-,-,532 - 545,-,546 - 612,613 - 626,631 - 666,Scotland,Pace
49,BV Sears,411 - 512,513 - 612,613 - 616,-,621 - 643,-,644 - 651,652 - 662,663 - 666,411 - 511,512 - 615,616 - 622,-,623 - 645,-,646 - 651,652 - 655,656 - 666,411 - 453,454 - 612,613 - 616,-,621 - 634,-,635 - 641,642 - 655,656 - 666,New Zealand,Pace
50,Basil Hameed,411 - 465,466 - 545,546 - 553,554 - 562,563 - 616,-,621 - 625,626 - 643,644 - 666,411 - 523,524 - 612,613 - 634,-,635 - 645,-,646 - 651,652 - 655,656 - 666,411 - 534,535 - 626,-,-,631 - 654,-,-,-,655 - 666,United Arab Emirates,Spin
51,C Campher,411 - 453,454 - 543,544 - 552,-,553 - 661,-,662 - 666,-,-,411 - 464,465 - 612,613 - 623,624 - 624,625 - 644,-,645 - 646,651 - 656,661 - 666,411 - 454,455 - 546,551 - 626,-,631 - 642,-,643 - 654,-,655 - 666,Ireland,Pace
52,C Floyd,411 - 632,633 - 663,-,-,664 - 666,-,-,-,-,411 - 516,521 - 561,-,-,562 - 642,-,643 - 654,-,655 - 666,-,411 - 466,511 - 536,-,541 - 566,-,611 - 666,-,-,Netherlands,Spin
53,C Green,411 - 553,554 - 564,565 - 612,-,613 - 652,-,653 - 655,656 - 666,-,411 - 455,456 - 565,566 - 614,-,615 - 634,-,635 - 643,644 - 655,656 - 666,411 - 433,434 - 463,464 - 534,-,-,-,535 - 666,-,-,Australia,Pace
54,C Karunaratne,411 - 511,512 - 616,621 - 623,-,624 - 651,-,652 - 652,653 - 662,663 - 666,411 - 442,443 - 612,613 - 633,-,634 - 646,-,651 - 653,654 - 662,663 - 666,411 - 425,426 - 531,532 - 544,545 - 552,553 - 613,-,614 - 626,631 - 655,656 - 666,Sri Lanka,Pace
55,C Olphert,-,-,-,-,-,-,-,-,-,411 - 436,441 - 534,535 - 544,-,545 - 615,-,616 - 632,633 - 666,-,-,-,-,-,-,-,-,-,-,Ireland,Pace
56,C Sakariya,411 - 523,524 - 553,-,-,554 - 653,-,-,654 - 666,-,-,-,-,-,-,-,-,-,-,-,411 - 521,522 - 613,-,614 - 632,-,-,633 - 651,652 - 666,India,Pace
57,C de Grandhomme,-,-,-,-,-,-,-,-,-,411 - 521,522 - 661,662 - 666,-,-,-,-,-,-,411 - 463,464 - 544,545 - 625,-,-,-,-,-,626 - 666,New Zealand,Pace
58,CA Young,411 - 512,513 - 565,566 - 613,614 - 614,615 - 636,-,641 - 644,645 - 661,662 - 666,411 - 424,425 - 556,561 - 622,-,623 - 635,-,636 - 645,646 - 654,655 - 666,411 - 462,463 - 563,564 - 623,-,624 - 645,-,646 - 656,661 - 662,663 - 666,Ireland,Pace
59,CB Sole,411 - 442,443 - 523,-,-,524 - 544,-,545 - 556,561 - 666,-,411 - 435,436 - 541,542 - 556,-,561 - 636,-,641 - 644,645 - 666,-,-,411 - 524,-,-,525 - 553,-,554 - 612,613 - 631,632 - 666,Scotland,Pace
60,CBRLS Kumara,411 - 516,521 - 611,612 - 622,623 - 623,624 - 652,-,653 - 661,662 - 666,-,411 - 456,461 - 564,565 - 613,-,614 - 625,626 - 626,631 - 635,636 - 651,652 - 666,411 - 434,435 - 532,-,533 - 535,536 - 613,-,614 - 632,633 - 654,655 - 666,Sri Lanka,Pace
61,CE McConchie,411 - 614,615 - 631,632 - 643,644 - 644,645 - 655,-,656 - 661,-,662 - 666,411 - 521,522 - 616,621 - 635,-,636 - 644,-,645 - 653,654 - 656,661 - 666,-,-,-,-,411 - 666,-,-,-,-,New Zealand,Spin
62,CH Gayle,411 - 445,446 - 562,563 - 612,-,613 - 622,-,-,623 - 656,661 - 666,411 - 466,511 - 623,624 - 635,-,636 - 642,-,643 - 645,646 - 663,664 - 666,-,411 - 615,-,-,616 - 643,-,-,-,644 - 666,West Indies,Spin
63,CJ Dala,-,-,-,-,-,-,-,-,-,411 - 443,444 - 542,543 - 555,-,-,-,556 - 641,642 - 666,-,-,-,-,-,-,-,-,-,-,South Africa,Pace
64,CJ Jordan,411 - 466,511 - 611,612 - 622,623 - 624,625 - 651,-,652 - 654,655 - 663,664 - 666,411 - 465,466 - 614,615 - 624,-,625 - 645,-,646 - 652,653 - 662,663 - 666,411 - 445,446 - 551,552 - 565,566 - 566,611 - 625,-,626 - 645,646 - 656,661 - 666,England,Pace
65,CN Ackermann,411 - 552,-,553 - 564,-,565 - 654,-,-,-,655 - 666,411 - 525,526 - 615,616 - 634,-,635 - 642,-,643 - 654,655 - 662,663 - 666,-,-,-,-,-,-,-,-,-,Netherlands,Spin
66,CN Greaves,-,-,-,-,-,-,-,-,-,411 - 453,454 - 614,615 - 634,-,635 - 645,-,646 - 654,655 - 662,663 - 666,-,411 - 436,441 - 536,-,541 - 553,-,554 - 636,641 - 653,654 - 666,Scotland,Spin
67,CR Woakes,411 - 541,542 - 624,625 - 633,634 - 634,635 - 645,-,646 - 651,652 - 655,656 - 666,411 - 525,526 - 615,616 - 631,-,632 - 635,-,636 - 646,651 - 661,662 - 666,411 - 431,432 - 531,532 - 535,-,536 - 561,-,562 - 636,641 - 653,654 - 666,England,Pace
68,CS MacLeod,-,-,-,-,-,-,-,-,-,411 - 536,541 - 623,624 - 634,-,-,-,-,635 - 666,-,-,-,-,-,-,-,-,-,-,Scotland,Pace
69,CV Varun,411 - 552,553 - 644,645 - 651,-,652 - 664,-,-,665 - 666,-,411 - 453,454 - 633,634 - 636,-,641 - 645,-,646 - 655,656 - 664,665 - 666,411 - 453,454 - 623,624 - 636,-,-,-,-,641 - 653,654 - 666,India,Spin
70,D Madushanka,411 - 531,532 - 564,565 - 612,613 - 614,615 - 631,-,-,632 - 663,664 - 666,411 - 441,442 - 621,622 - 632,-,633 - 651,-,652 - 655,656 - 666,-,411 - 441,442 - 535,536 - 554,-,555 - 612,-,613 - 623,624 - 641,642 - 666,Sri Lanka,Pace
71,D Myers,-,-,-,-,-,-,-,-,-,411 - 445,446 - 541,542 - 611,612 - 615,616 - 653,-,-,654 - 666,-,411 - 433,434 - 463,464 - 534,-,535 - 666,-,-,-,-,Zimbabwe,Pace
72,D Pretorius,411 - 464,465 - 611,612 - 615,-,616 - 662,-,-,-,663 - 666,411 - 446,451 - 623,624 - 626,-,631 - 642,-,643 - 651,652 - 656,661 - 666,411 - 424,425 - 531,532 - 546,-,551 - 613,-,614 - 624,625 - 643,644 - 666,South Africa,Pace
73,D Wiese,411 - 521,522 - 613,614 - 623,624 - 625,626 - 652,-,653 - 654,655 - 662,663 - 666,411 - 464,465 - 623,624 - 642,-,643 - 652,-,653 - 653,654 - 661,662 - 666,411 - 445,446 - 553,554 - 615,616 - 616,621 - 642,-,643 - 645,646 - 653,654 - 666,Namibia,Pace
74,D la Cock,-,-,-,-,-,-,-,-,-,-,411 - 636,-,-,-,-,641 - 666,-,-,-,-,-,-,-,-,-,-,-,Namibia,Spin
75,DAJ Bracewell,-,411 - 632,633 - 666,-,-,-,-,-,-,411 - 554,555 - 632,-,-,633 - 651,-,-,652 - 666,-,-,411 - 536,541 - 566,-,611 - 666,-,-,-,-,New Zealand,Pace
76,DC Drakes,411 - 443,444 - 566,611 - 624,-,625 - 656,-,-,661 - 663,664 - 666,411 - 445,446 - 615,616 - 624,625 - 625,626 - 643,-,644 - 653,654 - 662,663 - 666,411 - 422,423 - 533,534 - 553,-,554 - 625,-,626 - 641,642 - 662,663 - 666,West Indies,Pace
77,DE Budge,-,-,-,-,-,-,-,-,-,-,-,411 - 433,-,434 - 524,-,525 - 552,553 - 643,644 - 666,-,-,-,-,-,-,-,-,-,Scotland,Pace
78,DJ Bravo,411 - 511,512 - 623,-,-,624 - 642,-,-,643 - 666,-,411 - 443,444 - 614,615 - 625,-,626 - 642,-,643 - 644,645 - 663,664 - 666,411 - 431,432 - 552,553 - 566,611 - 611,612 - 621,-,622 - 625,626 - 641,642 - 666,West Indies,Pace
79,DJ Hooda,411 - 666,-,-,-,-,-,-,-,-,411 - 516,521 - 622,623 - 641,-,642 - 651,-,652 - 656,-,661 - 666,411 - 514,515 - 643,644 - 654,-,-,-,-,655 - 666,-,India,Spin
80,DJ Mitchell,-,-,-,-,-,-,-,-,-,-,411 - 523,524 - 544,-,545 - 636,-,-,641 - 656,661 - 666,411 - 533,534 - 544,-,-,545 - 622,-,623 - 633,634 - 655,656 - 666,New Zealand,Pace
81,DJ Willey,411 - 453,454 - 552,553 - 564,565 - 565,566 - 633,-,634 - 642,643 - 662,663 - 666,411 - 423,424 - 553,554 - 616,-,621 - 634,-,635 - 641,642 - 656,661 - 666,411 - 413,414 - 536,541 - 561,-,562 - 614,-,615 - 626,631 - 645,646 - 666,England,Pace
82,DL Chahar,411 - 541,542 - 615,616 - 623,624 - 624,625 - 652,-,653 - 656,661 - 662,663 - 666,411 - 435,436 - 544,545 - 565,-,566 - 632,-,633 - 651,652 - 655,656 - 666,411 - 453,454 - 554,555 - 612,-,613 - 621,-,622 - 642,643 - 654,655 - 666,India,Pace
83,DM de Silva,411 - 452,453 - 646,651 - 654,-,655 - 662,-,663 - 666,-,-,411 - 466,511 - 634,635 - 655,-,656 - 662,-,663 - 664,-,665 - 666,-,-,-,-,-,-,-,-,-,Sri Lanka,Spin
84,DR Sams,411 - 523,524 - 614,615 - 624,-,625 - 646,-,651 - 652,653 - 656,661 - 666,411 - 441,442 - 554,555 - 615,-,616 - 645,-,646 - 662,663 - 664,665 - 666,411 - 424,425 - 513,514 - 542,-,543 - 556,-,561 - 624,625 - 652,653 - 666,Australia,Pace
85,DT Christian,-,411 - 433,-,-,434 - 524,-,525 - 615,616 - 666,-,411 - 521,522 - 616,621 - 631,-,632 - 633,-,634 - 635,636 - 653,654 - 666,411 - 456,461 - 563,564 - 612,-,613 - 626,-,631 - 635,636 - 666,-,Australia,Pace
86,DT Tiripano,411 - 461,462 - 553,554 - 615,616 - 616,621 - 644,-,645 - 646,651 - 664,665 - 666,411 - 411,412 - 536,541 - 553,-,554 - 615,-,616 - 634,635 - 656,661 - 666,-,411 - 566,-,-,611 - 623,-,624 - 636,641 - 653,654 - 666,Zimbabwe,Pace
87,Danish Aziz,-,-,-,-,-,-,-,-,-,-,411 - 545,546 - 634,-,-,-,-,-,635 - 666,-,411 - 436,441 - 566,-,611 - 636,-,641 - 666,-,-,Pakistan,Spin
88,Ebadat Hossain,411 - 623,624 - 642,-,643 - 651,-,-,652 - 666,-,-,411 - 416,421 - 536,541 - 556,-,561 - 565,-,566 - 616,621 - 652,653 - 666,-,411 - 416,421 - 514,-,515 - 543,-,-,544 - 641,642 - 666,Bangladesh,Pace
89,F Hand,-,411 - 444,445 - 521,-,522 - 632,-,-,-,633 - 666,411 - 435,436 - 536,541 - 556,-,561 - 626,-,631 - 636,641 - 656,661 - 666,-,-,-,-,-,-,-,-,-,Ireland,Pace
90,FA Allen,411 - 524,525 - 612,613 - 622,-,623 - 646,-,651 - 652,653 - 656,661 - 666,411 - 442,443 - 621,622 - 632,-,633 - 653,-,654 - 656,661 - 662,663 - 666,411 - 465,466 - 616,621 - 623,-,624 - 643,-,644 - 653,654 - 656,661 - 666,West Indies,Spin
91,FH Edwards,411 - 456,461 - 551,552 - 615,616 - 621,622 - 643,-,644 - 645,646 - 663,664 - 666,-,411 - 535,536 - 546,-,551 - 633,-,634 - 644,-,645 - 666,411 - 433,434 - 565,566 - 666,-,-,-,-,-,-,West Indies,Pace
92,FJ Klaassen,411 - 611,612 - 632,633 - 635,636 - 636,641 - 651,-,-,652 - 664,665 - 666,411 - 454,455 - 611,612 - 636,641 - 643,644 - 653,-,-,654 - 663,664 - 666,411 - 521,522 - 553,554 - 615,-,616 - 626,-,631 - 641,642 - 652,653 - 666,Netherlands,Pace
93,Faheem Ashraf,411 - 544,545 - 625,626 - 634,-,635 - 656,-,661 - 662,663 - 664,665 - 666,411 - 421,422 - 556,561 - 623,-,624 - 653,-,654 - 654,655 - 656,661 - 666,411 - 426,431 - 512,513 - 525,-,526 - 542,-,543 - 654,655 - 666,-,Pakistan,Pace
94,Fareed Ahmad,411 - 451,452 - 555,-,556 - 562,563 - 641,-,642 - 644,645 - 652,653 - 666,411 - 431,432 - 565,566 - 614,-,615 - 632,-,633 - 641,642 - 646,651 - 666,-,411 - 516,521 - 543,-,544 - 622,-,623 - 642,643 - 646,651 - 666,Afghanistan,Pace
95,Fazalhaq Farooqi,411 - 536,541 - 622,623 - 626,-,631 - 644,-,645 - 646,651 - 661,662 - 666,-,-,-,-,-,-,-,-,-,411 - 442,443 - 561,562 - 615,-,616 - 635,-,636 - 644,645 - 655,656 - 666,Afghanistan,Pace
96,G Motie,411 - 512,513 - 615,616 - 625,-,626 - 656,-,661 - 666,-,-,411 - 616,621 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,West Indies,Spin
97,GA Stuurman,411 - 434,-,435 - 465,-,466 - 636,-,-,641 - 666,-,411 - 412,413 - 511,-,-,512 - 541,-,542 - 611,612 - 666,-,-,-,-,-,-,-,-,-,-,South Africa,Pace
98,GD Phillips,411 - 452,453 - 634,-,-,-,-,635 - 666,-,-,411 - 445,446 - 565,566 - 614,615 - 616,621 - 643,-,644 - 645,646 - 662,663 - 666,-,-,-,-,-,-,-,-,-,New Zealand,Spin
99,GF Linde,411 - 534,535 - 626,631 - 631,-,632 - 641,-,642 - 653,654 - 656,661 - 666,411 - 446,451 - 615,616 - 621,-,622 - 643,-,644 - 652,653 - 656,661 - 666,-,-,-,-,-,-,-,-,-,South Africa,Spin
100,GH Dockrell,-,-,-,-,-,-,-,-,-,411 - 425,426 - 565,566 - 625,-,626 - 643,-,644 - 644,645 - 661,662 - 666,-,-,-,-,-,-,-,-,-,Ireland,Spin
